Particle_ID,Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s)
1,21.72500000000357,3.1896335141870055e-06,2.2203675664617916e-06,9.375492027840134e-08,-1.4734547178426795e-06,-3.1323741087264206e-05,2.9693291895579625e-05
1,21.72700000000357,3.1676250427623245e-06,2.2475852858656352e-06,4.780068845096302e-08,-2.200847142468121e-05,2.7217719403843677e-05,-4.595423182743832e-05
1,21.729000000003573,3.1701012631917517e-06,2.2581079387864517e-06,2.972542386783853e-08,2.4762204294271668e-06,1.0522652920816465e-05,-1.807526458312449e-05
1,21.731000000003576,3.1539640929783095e-06,2.2154107920662966e-06,1.9274537816708635e-08,-1.6137170213442033e-05,-4.269714672015521e-05,-1.0450886051129896e-05
1,21.733000000003578,3.140883761185993e-06,2.1800274957514506e-06,7.43707617782066e-08,-1.30803317923166e-05,-3.538329631484594e-05,5.509622396149796e-05
1,21.73500000000358,3.2253806537510955e-06,2.168085207706191e-06,1.1738006714715169e-08,8.44968925651027e-05,-1.1942288045259613e-05,-6.263275506349143e-05
1,21.737000000003583,3.2064230586307028e-06,2.2032085867022457e-06,4.3811257806380495e-08,-1.895759512039272e-05,3.512337899605477e-05,3.2073251091665325e-05
1,21.739000000003585,3.266048110591058e-06,2.160500104624881e-06,3.526553567433411e-08,5.962505196035515e-05,-4.270848207736481e-05,-8.545722132046382e-06
1,21.741000000003588,3.281946532686725e-06,2.2154529526630445e-06,5.063050006649455e-08,1.589842209566702e-05,5.4952848038163474e-05,1.536496439216044e-05
1,21.74300000000359,3.3033022701666446e-06,2.2338603846962456e-06,1.1943687006029206e-07,2.13557374799197e-05,1.8407432033201198e-05,6.880636999379751e-05
1,21.745000000003593,3.2881430737763694e-06,2.1779358909511874e-06,1.0601742730354896e-07,-1.5159196390275046e-05,-5.592449374505809e-05,-1.3419442756743093e-05
1,21.747000000003595,3.2937053422450018e-06,2.206986970131149e-06,1.2313457740224e-07,5.562268468632537e-06,2.905107917996136e-05,1.7117150098691044e-05
1,21.749000000003598,3.3442197484484728e-06,2.2016593622895982e-06,1.3360987184796484e-07,5.05144062034708e-05,-5.3276078415504134e-06,1.0475294445724825e-05
1,21.7510000000036,3.3524315460513566e-06,2.226429923308923e-06,9.753455178332293e-08,8.211797602883888e-06,2.4770561019324734e-05,-3.60753200646419e-05
1,21.753000000003603,3.3138956108389502e-06,2.2157626905211917e-06,8.509744300870975e-08,-3.853593521240621e-05,-1.0667232787731142e-05,-1.2437108774613184e-05
1,21.755000000003605,3.3093301827452092e-06,2.2193273655641004e-06,1.0377501401817635e-07,-4.565428093741028e-06,3.564675042908905e-06,1.86775710094666e-05
1,21.757000000003607,3.308894186091544e-06,2.235295678918048e-06,8.767557846264312e-08,-4.359966536651612e-07,1.596831335394763e-05,-1.609943555553323e-05
1,21.75900000000361,3.262941508084552e-06,2.301175071868706e-06,3.1589765594598284e-08,-4.595267800699185e-05,6.587939295065793e-05,-5.6085812868044837e-05
1,21.761000000003612,3.2042264025484725e-06,2.2495609851752865e-06,6.029109105731926e-08,-5.87151055360795e-05,-5.1614086693419625e-05,2.8701325462720978e-05
1,21.763000000003615,3.23446096910063e-06,2.2645942900488727e-06,6.073530527032306e-08,3.0234566552157523e-05,1.5033304873586185e-05,4.4421421300380785e-07
1,21.765000000003617,3.240527705530412e-06,2.2845067269239642e-06,5.203687500278359e-08,6.066736429782406e-06,1.9912436875091728e-05,-8.698430267539475e-06
1,21.76700000000362,3.266713745928435e-06,2.263790360633801e-06,4.240598187718437e-08,2.6186040398022733e-05,-2.0716366290163388e-05,-9.630893125599218e-06
1,21.769000000003622,3.3055608973115985e-06,2.276813132764707e-06,4.22537282794456e-08,3.8847151383163216e-05,1.3022772130905962e-05,-1.522535977387704e-07
1,21.771000000003625,3.36445051980749e-06,2.244381165018957e-06,6.219168400375828e-08,5.888962249589157e-05,-3.2431967745749965e-05,1.9937955724312684e-05
1,21.773000000003627,3.3369074524864397e-06,2.219118251218258e-06,1.371554981915785e-07,-2.7543067321050082e-05,-2.5262913800699067e-05,7.496381418782023e-05
1,21.77500000000363,3.3421933288584e-06,2.237693731229159e-06,1.5022081432482982e-07,5.285876371960198e-06,1.85754800109008e-05,1.306531613325134e-05
1,21.777000000003632,3.3603704993767343e-06,2.23370003004242e-06,1.5033156587347304e-07,1.8177170518334396e-05,-3.993701186738753e-06,1.1075154864322683e-07
1,21.779000000003634,3.346084267187444e-06,2.2021128773071173e-06,1.1334731546462962e-07,-1.428623218929015e-05,-3.1587152735302725e-05,-3.6984250408843424e-05
1,21.781000000003637,3.271099360665355e-06,2.230231530383379e-06,1.744270658550553e-07,-7.498490652208903e-05,2.811865307626178e-05,6.107975039042569e-05
1,21.78300000000364,3.311055882660087e-06,2.2687503077105764e-06,1.7197344366104084e-07,3.995652199473185e-05,3.851877732719735e-05,-2.4536221940144537e-06
1,21.78500000000364,3.3537258125985637e-06,2.3014530077435228e-06,1.2515616560714078e-07,4.266992993847663e-05,3.270270003294641e-05,-4.681727805390004e-05
1,21.787000000003644,3.386337643517014e-06,2.287734916950785e-06,1.4828137655957346e-07,3.261183091845044e-05,-1.371809079273783e-05,2.3125210952432683e-05
1,21.789000000003647,3.3137797796154956e-06,2.333145011074276e-06,1.3329959458275387e-07,-7.25578639015185e-05,4.5410094123490944e-05,-1.4981781976819588e-05
1,21.79100000000365,3.2746170388546653e-06,2.266046703431878e-06,1.0845783789640256e-07,-3.9162740760830336e-05,-6.709830764239771e-05,-2.48417566863513e-05
1,21.79300000000365,3.296759772666181e-06,2.2245784009741585e-06,1.1856280281420499e-07,2.214273381151576e-05,-4.1468302457719525e-05,1.0104964917802425e-05
1,21.795000000003654,3.2824060298235984e-06,2.264064385589044e-06,7.75876355322174e-08,-1.4353742842582707e-05,3.9485984614885574e-05,-4.097516728198759e-05
1,21.797000000003656,3.2660553376402405e-06,2.2872062072276245e-06,1.9823078966129317e-08,-1.6350692183357707e-05,2.314182163858052e-05,-5.7764556566088076e-05
1,21.79900000000366,3.2611761732867826e-06,2.294962411175964e-06,1.3426842082153323e-09,-4.879164353457971e-06,7.756203948339708e-06,-1.8480394757913985e-05
1,21.80100000000366,3.238693427653974e-06,2.3473826168563336e-06,7.29085221771879e-08,-2.2482745632808924e-05,5.242020568036934e-05,7.156583796897257e-05
1,21.803000000003664,3.2122284849803342e-06,2.3433539740061723e-06,7.180591197648369e-08,-2.64649426736394e-05,-4.0286428501611904e-06,-1.1026102007042179e-06
1,21.805000000003666,3.2081107069274108e-06,2.3261339690032098e-06,1.2471854161777572e-07,-4.117778052923355e-06,-1.7220005002962675e-05,5.291262964129202e-05
1,21.80700000000367,3.190396344197698e-06,2.3520140842599997e-06,1.477895803938149e-07,-1.7714362729712786e-05,2.5880115256789918e-05,2.3071038776039186e-05
1,21.80900000000367,3.255744282274974e-06,2.3567146093315306e-06,1.4589588425408773e-07,6.53479380772757e-05,4.700525071531033e-06,-1.8936961397271787e-06
1,21.811000000003673,3.2728563099732894e-06,2.31117580856237e-06,1.1419958362267458e-07,1.711202769831552e-05,-4.553880076916067e-05,-3.169630063141315e-05
1,21.813000000003676,3.239352560834542e-06,2.3313299503928298e-06,1.6983007316165532e-07,-3.350374913874767e-05,2.015414183045964e-05,5.563048953898074e-05
1,21.81500000000368,3.213543654000338e-06,2.3522303617093766e-06,1.690651514426071e-07,-2.5808906834203907e-05,2.0900411316546774e-05,-7.649217190482205e-07
1,21.81700000000368,3.1879259764590264e-06,2.3193790240527595e-06,1.4928301114352162e-07,-2.56176775413115e-05,-3.2851337656617165e-05,-1.9782140299085475e-05
1,21.819000000003683,3.1759312442011057e-06,2.3294745565393884e-06,5.7800297416445357e-08,-1.199473225792075e-05,1.0095532486628872e-05,-9.148271372707626e-05
1,21.821000000003686,3.1672642437358486e-06,2.3645068566411365e-06,6.421947617562223e-08,-8.66700046525696e-06,3.503230010174812e-05,6.419178759176878e-06
1,21.823000000003688,3.232023044858224e-06,2.339104502663938e-06,5.6738183914736036e-08,6.475880112237529e-05,-2.540235397719847e-05,-7.481292260886193e-06
1,21.82500000000369,3.2171072466902386e-06,2.3693843688411492e-06,5.7138470151558344e-08,-1.4915798167985187e-05,3.0279866177210963e-05,4.0028623682230467e-07
1,21.827000000003693,3.2042948211694927e-06,2.3888522953101246e-06,2.526661402826874e-08,-1.2812425520745884e-05,1.946792646897543e-05,-3.1871856123289605e-05
1,21.829000000003695,3.1954649732510055e-06,2.341176822130501e-06,-2.7200445080595977e-08,-8.829847918487191e-06,-4.767547317962364e-05,-5.246705910886471e-05
1,21.831000000003698,3.1642841079556056e-06,2.3253222749300067e-06,-5.006039123639593e-08,-3.1180865295400066e-05,-1.585454720049391e-05,-2.2859946155799954e-05
1,21.8330000000037,3.1907842548136254e-06,2.3250633219790623e-06,1.3665843434847529e-08,2.650014685801961e-05,-2.589529509443572e-07,6.372623467124346e-05
1,21.835000000003703,3.167754791849289e-06,2.3325563866606547e-06,9.81542103881336e-09,-2.30294629643364e-05,7.4930646815924856e-06,-3.850422396034168e-06
1,21.837000000003705,3.223972858932758e-06,2.290137066855229e-06,5.719392588802833e-08,5.6218067083469255e-05,-4.241931980542537e-05,4.737850484921498e-05
1,21.839000000003708,3.2694875262111806e-06,2.2758578594609145e-06,-2.1130545634953033e-09,4.551466727842267e-05,-1.4279207394314543e-05,-5.930698045152363e-05
1,21.84100000000371,3.2228300099254637e-06,2.2617624206375784e-06,9.873585088170817e-09,-4.66575162857167e-05,-1.4095438823336135e-05,1.198663965166612e-05
1,21.843000000003713,3.171560119872593e-06,2.2450621540328124e-06,3.8877637236612605e-08,-5.126989005287059e-05,-1.6700266604766027e-05,2.900405214844179e-05
1,21.845000000003715,3.16990274894613e-06,2.241130773634303e-06,-1.1921413936795299e-08,-1.65737092646316e-06,-3.931380398509523e-06,-5.0799051173407904e-05
1,21.847000000003717,3.1406662158057365e-06,2.221975882111457e-06,-3.422329416921365e-08,-2.9236533140393418e-05,-1.9154891522845832e-05,-2.230188023241835e-05
1,21.84900000000372,3.0541572572503014e-06,2.1811031766685333e-06,-2.3256492743124694e-08,-8.650895855543498e-05,-4.087270544292372e-05,1.0966801426088954e-05
1,21.851000000003722,3.055991639264028e-06,2.1944241747246552e-06,-7.852938750192441e-08,1.834382013726643e-06,1.3320998056121877e-05,-5.5272894758799715e-05
1,21.853000000003725,3.0763844715189538e-06,2.160852494670264e-06,-1.6857717729675762e-08,2.0392832254925773e-05,-3.357168005439115e-05,6.167166977224865e-05
1,21.855000000003727,3.059171815554242e-06,2.1435479545023155e-06,-4.4969316337650274e-08,-1.7212655964711782e-05,-1.7304540167948534e-05,-2.8111598607974508e-05
1,21.85700000000373,3.081225235904288e-06,2.2024916475554033e-06,-8.797926429674979e-08,2.2053420350046268e-05,5.89436930530878e-05,-4.300994795909951e-05
1,21.859000000003732,3.072010303852754e-06,2.2032624518666883e-06,-8.176928010551273e-08,-9.214932051534243e-06,7.708043112852002e-07,6.209984191237066e-06
1,21.861000000003735,3.0126833583223638e-06,2.220420190016863e-06,-9.045747077701812e-08,-5.932694553039012e-05,1.715773815017467e-05,-8.688190671505391e-06
1,21.863000000003737,3.047061767250674e-06,2.2493279973807765e-06,-3.9417115248887484e-08,3.4378408928310134e-05,2.890780736391364e-05,5.104035552813063e-05
1,21.86500000000374,3.0242906693191323e-06,2.244147011048121e-06,-7.489681662622753e-08,-2.2771097931541656e-05,-5.180986332655575e-06,-3.547970137734005e-05
1,21.867000000003742,3.036195024005376e-06,2.270857767627511e-06,-7.71757780367522e-08,1.1904354686244005e-05,2.671075657939012e-05,-2.2789614105246595e-06
1,21.869000000003744,3.0087347284938374e-06,2.2261377161856076e-06,-4.847308989223488e-08,-2.7460295511538587e-05,-4.472005144190342e-05,2.8702688144517315e-05
1,21.871000000003747,2.995191055592409e-06,2.2385699287885943e-06,-3.179849442879739e-08,-1.3543672901428472e-05,1.2432212602986501e-05,1.6674595463437486e-05
1,21.87300000000375,3.033396807572287e-06,2.258091949204346e-06,-1.0452468311089129e-08,3.8205751979878104e-05,1.9522020415751555e-05,2.1346026117708262e-05
1,21.87500000000375,3.0131571805203915e-06,2.2199119305455896e-06,-5.254896257211194e-08,-2.0239627051895377e-05,-3.818001865875609e-05,-4.209649426102281e-05
1,21.877000000003754,3.0141973088682095e-06,2.266792284017021e-06,-1.2217307337372292e-07,1.0401283478180632e-06,4.6880353471431505e-05,-6.962411080161098e-05
1,21.879000000003757,3.0428065915736156e-06,2.2715678484091036e-06,-1.3890320909245232e-07,2.8609282705405974e-05,4.775564392082442e-06,-1.6730135718729404e-05
1,21.88100000000376,3.0184587385934965e-06,2.294600566947484e-06,-1.798466357695724e-07,-2.4347852980118953e-05,2.3032718538380297e-05,-4.094342667712007e-05
1,21.88300000000376,3.070859572243662e-06,2.312028328072888e-06,-1.3723154268682463e-07,5.240083365016545e-05,1.742776112540378e-05,4.2615093082747766e-05
1,21.885000000003764,3.098734587174791e-06,2.2965805559572417e-06,-1.1957549366869784e-07,2.78750149311287e-05,-1.544777211564625e-05,1.7656049018126795e-05
1,21.887000000003766,3.1026598092690106e-06,2.1997870431479637e-06,-1.6929455149394022e-07,3.925222094219543e-06,-9.679351280927782e-05,-4.9719057825242366e-05
1,21.88900000000377,3.1153754621671636e-06,2.1886599765743404e-06,-1.29593771888737e-07,1.2715652898152846e-05,-1.1127066573623323e-05,3.970077960520322e-05
1,21.89100000000377,3.1192692301738644e-06,2.1847011246647674e-06,-1.4035843835135728e-07,3.893768006700914e-06,-3.958851909573163e-06,-1.0764666462620287e-05
1,21.893000000003774,3.108854874760534e-06,2.1697841454629174e-06,-1.8021447950082807e-07,-1.0414355413330574e-05,-1.491697920185002e-05,-3.985604114947078e-05
1,21.895000000003776,3.175247097066831e-06,2.169500470765829e-06,-1.415933150567538e-07,6.639222230629727e-05,-2.836746970881121e-07,3.862116444407428e-05
1,21.89700000000378,3.2050190924205544e-06,2.1343144482302464e-06,-1.489620679847742e-07,2.9771995353723434e-05,-3.518602253558296e-05,-7.368752928020408e-06
1,21.89900000000378,3.2326591613820012e-06,2.161827968610323e-06,-1.0279345105368685e-07,2.764006896144678e-05,2.7513520380076563e-05,4.6168616931087355e-05
1,21.901000000003783,3.2144460920846004e-06,2.1411132414787792e-06,-7.426137833589629e-08,-1.8213069297400798e-05,-2.0714727131543638e-05,2.8532072717790557e-05
1,21.903000000003786,3.1924307464975332e-06,2.1024152636323367e-06,-9.870676631480239e-08,-2.2015345587067154e-05,-3.8697977846442645e-05,-2.4445387978906093e-05
1,21.90500000000379,3.2007460689016835e-06,2.141218263879992e-06,-1.0890963166109575e-07,8.315322404150063e-06,3.8803000247655176e-05,-1.0202865346293367e-05
1,21.90700000000379,3.194177342125736e-06,2.0966656777184636e-06,-9.000714062398425e-08,-6.568726775947289e-06,-4.4552586161528335e-05,1.8902491037111508e-05
1,21.909000000003793,3.1546277277204487e-06,2.0911236092527887e-06,-1.512649538718147e-07,-3.9549614405287454e-05,-5.5420684656750905e-06,-6.125781324783046e-05
1,21.911000000003796,3.149977829485263e-06,2.131271892944049e-06,-9.683377425496947e-08,-4.649898235185692e-06,4.014828369126052e-05,5.4431179616845236e-05
