Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s)
0.008689000000000068,2.9326562480955076e-06,-3.3363130531396523e-07,1.8226774985751126e-07,0.00010593206226992933,0.0012205950781100682,0.00019529841585888875
0.008691000000000067,2.932535332794234e-06,-3.346209778576003e-07,1.8211360833557155e-07,-0.00012091530127367878,-0.000989672543635048,-0.0001541415219397074
0.008693000000000065,2.932275234761029e-06,-3.340009079432454e-07,1.8261387078746385e-07,-0.0002600980332051326,0.0006200699143548386,0.0005002624518923023
0.008695000000000064,2.9327371583789814e-06,-3.3389605287747813e-07,1.8105634507963487e-07,0.00046192361795233816,0.00010485506576728594,-0.0015575257078289662
0.008697000000000062,2.9320524300547106e-06,-3.3428463434094127e-07,1.785476561558651e-07,-0.000684728324270899,-0.00038858146346313797,-0.0025086889237697823
0.00869900000000006,2.9330661853701097e-06,-3.346042442952698e-07,1.7823829083278842e-07,0.0010137553153991724,-0.0003196099543285374,-0.0003093653230766537
0.00870100000000006,2.9338208931198544e-06,-3.349566199631639e-07,1.7930514763522877e-07,0.0007547077497444662,-0.0003523756678941087,0.0010668568024403326
0.008703000000000058,2.934546548187444e-06,-3.36145196287665e-07,1.8033266447874342e-07,0.000725655067589566,-0.0011885763245010866,0.001027516843514655
0.008705000000000056,2.9345779266592678e-06,-3.350651128355235e-07,1.7832376930142338e-07,3.137847182368365e-05,0.0010800834521414546,-0.002008895177320037
0.008707000000000055,2.936217364822337e-06,-3.3436657199537663e-07,1.788823369082245e-07,0.0016394381630695034,0.0006985408401468719,0.0005585676068011139
0.008709000000000054,2.9378563748742267e-06,-3.3404075580837027e-07,1.791190148297324e-07,0.001639010051889553,0.0003258161870063602,0.00023667792150791807
0.008711000000000052,2.938505492394616e-06,-3.338620629936695e-07,1.7837133737188262e-07,0.0006491175203893288,0.00017869281470076374,-0.0007476774578497881
0.00871300000000005,2.9357712170084077e-06,-3.3327159843957097e-07,1.7952168813590275e-07,-0.002734275386208446,0.0005904645540985354,0.0011503507640201346
0.008715000000000049,2.9362043060538972e-06,-3.327792716647471e-07,1.7867128551517423e-07,0.000433089045489395,0.0004923267748238411,-0.0008504026207285093
0.008717000000000048,2.9365438818542992e-06,-3.3238118166794277e-07,1.7757429188662615e-07,0.0003395758004019439,0.00039808999680433066,-0.0010969936285480856
0.008719000000000046,2.9368407518816572e-06,-3.322739281314776e-07,1.7673545249734424e-07,0.0002968700273581342,0.00010725353646514139,-0.0008388393892819207
0.008721000000000045,2.9364238889440557e-06,-3.325347683439073e-07,1.7672667560776253e-07,-0.0004168629376016743,-0.0002608402124296853,-8.776889581701303e-06
0.008723000000000043,2.9369901551847256e-06,-3.3167202957470514e-07,1.7852158695416665e-07,0.0005662662406699411,0.0008627387692021436,0.0017949113464041228
